Name,LOC
add_size_checked,40
add_size_saturating,37
array_eq,100
array_eq_c_str,112
array_eq_c_str_ignore_case,100
array_eq_ignore_case,78
array_list_back,134
array_list_capacity,107
array_list_clean_up,89
array_list_clear,77
array_list_comparator_string,110
array_list_copy,111
array_list_ensure_capacity,150
array_list_erase,171
array_list_front,133
array_list_get_at,133
array_list_get_at_ptr,125
array_list_init_dynamic,119
array_list_init_static,128
array_list_length,105
array_list_pop_back,124
array_list_pop_front,142
array_list_pop_front_n,134
array_list_push_back,186
array_list_push_front,185
array_list_set_at,178
array_list_shrink_to_fit,158
array_list_sort,112
array_list_swap,116
array_list_swap_contents,123
byte_buf_advance,110
byte_buf_append,90
byte_buf_append_dynamic,142
byte_buf_append_with_lookup,105
byte_buf_cat,136
byte_buf_clean_up,50
byte_buf_clean_up_secure,61
byte_buf_eq,127
byte_buf_eq_c_str,142
byte_buf_eq_c_str_ignore_case,130
byte_buf_eq_ignore_case,101
byte_buf_from_array,52
byte_buf_from_c_str,188
byte_buf_from_empty_array,52
byte_buf_init,53
byte_buf_init_copy,111
byte_buf_init_copy_from_cursor,94
byte_buf_reserve,72
byte_buf_reserve_relative,92
byte_buf_reset,71
byte_buf_secure_zero,61
byte_buf_write,109
byte_buf_write_be16,94
byte_buf_write_be32,94
byte_buf_write_be64,102
byte_buf_write_from_whole_buffer,109
byte_buf_write_from_whole_cursor,129
byte_buf_write_from_whole_string,140
byte_buf_write_u8,91
byte_cursor_advance,75
byte_cursor_advance_nospec,88
byte_cursor_compare_lexical,117
byte_cursor_compare_lookup,101
byte_cursor_eq,113
byte_cursor_eq_byte_buf,133
byte_cursor_eq_byte_buf_ignore_case,108
byte_cursor_eq_c_str,126
byte_cursor_eq_c_str_ignore_case,114
byte_cursor_eq_ignore_case,87
byte_cursor_from_array,47
byte_cursor_from_buf,91
byte_cursor_from_c_str,179
byte_cursor_from_string,67
byte_cursor_left_trim_pred,65
byte_cursor_read,103
byte_cursor_read_and_fill_buffer,123
byte_cursor_read_be16,103
byte_cursor_read_be32,103
byte_cursor_read_be64,113
byte_cursor_read_u8,99
byte_cursor_right_trim_pred,64
byte_cursor_satisfies_pred,69
byte_cursor_trim_pred,77
hash_array_ignore_case,36
hash_byte_cursor_ptr,149
hash_byte_cursor_ptr_ignore_case,55
hash_c_string,266
hash_callback_c_str_eq,198
hash_callback_string_destroy,49
hash_callback_string_eq,100
hash_iter_begin,169
hash_iter_begin_done,186
hash_iter_delete,185
hash_iter_done,170
hash_iter_next,184
hash_ptr,118
hash_string,154
hash_table_clean_up,149
hash_table_clear,147
hash_table_create,308
hash_table_eq,243
hash_table_find,232
hash_table_foreach,163
hash_table_foreach_deep_loose,195
hash_table_foreach_deep_precise,209
hash_table_get_entry_count,134
hash_table_init_bounded,154
hash_table_init_unbounded,139
hash_table_move,132
hash_table_put,328
hash_table_remove,249
hash_table_swap,139
is_power_of_two,11
linked_list_back,160
linked_list_begin,157
linked_list_end,157
linked_list_front,166
linked_list_init,17
linked_list_insert_after,40
linked_list_insert_before,40
linked_list_next,33
linked_list_node_reset,22
linked_list_pop_back,180
linked_list_pop_front,180
linked_list_prev,33
linked_list_push_back,176
linked_list_push_front,176
linked_list_rbegin,164
linked_list_remove,45
linked_list_rend,160
linked_list_swap_contents,221
mul_size_checked,39
mul_size_saturating,38
nospec_mask,21
priority_queue_capacity,167
priority_queue_clean_up,145
priority_queue_init_dynamic,158
priority_queue_init_static,136
priority_queue_pop,176
priority_queue_push,263
priority_queue_push_ref,261
priority_queue_remove,184
priority_queue_s_remove_node,236
priority_queue_s_sift_down,233
priority_queue_s_sift_either,257
priority_queue_s_sift_up,218
priority_queue_s_swap,225
priority_queue_size,163
priority_queue_top,182
ptr_eq,10
ring_buffer_acquire,222
ring_buffer_acquire_up_to,227
ring_buffer_buf_belongs_to_pool,172
ring_buffer_clean_up,84
ring_buffer_init,56
ring_buffer_release,173
round_up_to_power_of_two,37
string_bytes,11
string_compare,108
string_destroy,11
string_destroy_secure,71
string_eq,94
string_eq_byte_buf,111
string_eq_byte_buf_ignore_case,90
string_eq_byte_cursor,111
string_eq_byte_cursor_ignore_case,85
string_eq_c_str,110
string_eq_c_str_ignore_case,99
string_eq_ignore_case,70
string_new_from_array,79
string_new_from_c_str,214
string_new_from_string,65
